Sub-Award Description,Sub-Award Average Amount,Sub-Award Count
"Accelerometers, Amplifiers, Cable/CableAssyHV, Non-complex Machined.",61572908.0,2
"Accelerometers, CableMulticonductor.",54400000.0,2
"AC-DC Power Supplies, Adaptors, Backshells, CableAssy&HarnMulti, Chargers, Custom - Computer SW, Filter Pin Connector, Flex Assy(w/Connect), Lithium Batteries, Microprocessors.",48800000.0,2
"AlarmBuzzerSensor, EnvTestEq(Shock/etc).",41600000.0,2
"Alum Invest Casting, NRE - Engineering, NRE - Other.",33150000.0,2
Amplifiers.,22205895.0,1
"Bolts, Launchers&Cannisters.",16100000.0,2
"Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.",7000000.0,2
"CableAssy&HarnMulti, NRE - Other.",3570856.86,7
CableAssy&HarnMulti.,2342479.5,2
"Chargers, Lithium Batteries, NRE - Other.",2162556.0,2
"Clamps, Non-complex Machined, Protect&Dust Covers.",1970054.0,2
"Clamps, Washers.",1935479.0,2
Composites.,1715276.0,2
Cost Plus Fixed Fee,871506.22,23
"Couplers, Gen Structural Assys, NRE - Other, Nuts.",602298.0,2
"Custom CCA's, NRE - Other.",517679.67,6
Custom CCA's.,474250.0,4
"Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.",445245.0,2
"Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.",437042.0,2
"Encoders, NRE - Other.",422361.5,2
Encoders.,405314.0,4
"EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.",399595.0,2
"Explosive Cut Device, NRE - Engineering, NRE - Other.",387509.5,2
Explosive Cut Device.,356272.0,2
Fasteners & Hardware.,352687.0,2
"FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.",344574.0,2
FinsWings&Boattails.,324436.75,4
Firm Fixed Price,162122.14,109
"Fuselage, Gen Structural Assys, NRE - Other.",92372.5,2
"Gears, Precision Machined.",91214.0,2
"Gen Structural Assys, Non-complex Machined.",89840.0,4
"Gen Structural Assys, NRE - Engineering.",88338.17,6
"Gen Structural Assys, NRE - Other, Valves.",87057.0,2
"Gen Structural Assys, NRE - Other.",84954.5,2
Gen Structural Assys.,83881.0,6
GPS Receivers.,79539.0,2
IMUs IRUs.,77917.5,2
"Integrtd Electr Assy, NRE - Data Items.",77000.0,1
"Iron Batteries, NRE - Other.",76973.0,2
Iron Batteries.,74476.8,5
Launchers&Cannisters.,72637.5,2
Lithium Batteries.,71967.0,1
Machine Shop Work.,70563.5,4
Major Assemblies.,68190.0,6
"Measuring Devices, NRE - Other.",66325.0,2
Measuring Devices.,65871.25,4
Metal Shp'g Containr.,64811.0,2
"Missile Antenna &Ped, NRE - Engineering, NRE - Other.",64237.0,2
"Missile Antenna &Ped, NRE - Other.",62645.0,2
Missile Antenna &Ped.,60663.75,4
Multi-Function Assys.,58266.0,2
"Non-complex Machined, Precision Machined.",58060.0,2
Non-complex Machined.,57144.5,2
Non-complex ShtMetal.,56889.0,2
"NRE - Data Items, NRE - Engineering, NRE - Qualification, Pumps, Tech/Eng Services.",55960.5,2
"NRE - Engineering, Receivers.",54972.0,2
"NRE - Engineering, Titanium Invest Cast.",53821.5,2
NRE - Engineering.,53614.0,2
"NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.",50905.0,2
"NRE - Other, T/E Rental/Lease.",50371.0,2
"NRE - Other, Titanium Plate.",50027.5,2
NRE - Other.,47481.4,20
Services: Nonproduct.,43606.5,2
Shafts.,42463.0,1
T/E Rental/Lease.,41557.5,2
Tech/Eng Services.,40083.33,6
Test Equipment.,33569.0,12
Testing (Non-Prod).,31522.5,4
Time & Material,30700.88,8
Transducers.,30299.0,2
Transmitters.,28856.5,2
Wire Cable.,25579.0,2
